exp,method,map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
R4_online_cap300_map2,online_cap300,map2,rrt_online,8,0.0,0,2000,2,549,686,980,0,980,1706,56.83
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,8,0.0,0,2000,2,423,95,892,0,892,964,96.01
R1_libvariants_map2,lib_filter,map2,original,8,0.0,0,2000,2,344,106,1090,0,1090,119,188.01
R5_transfer_map3,hybrid_original,map3,original,4,0.0,0,2000,2,46,225,2130,2013,117,65,399.36
R1_libvariants_map2,lib_regen,map2,original,8,0.0,0,2000,2,430,79,931,0,931,41,189.78
R1_libvariants_map2,lib_repair,map2,original,8,0.0,0,2000,2,344,93,1004,0,1004,46,231.27
R5_transfer_map3,hybrid_original,map3,original,8,0.0,0,2000,1,134,497,4546,3720,826,130,960.05
R2_scripted_map2,scripted_original,map2,original,8,0.0,0,2000,2,350,80,1731,809,922,47,223.79
R2_scripted_map2,scripted_alternative,map2,alternative,8,0.0,0,2000,2,348,34,921,0,921,15,212.21
R3_prioritized_map2,prioritized,map2,prioritized,10,0.0,0,2000,2,858,4,120,0,120,992,14.54
R5_transfer_map3,hybrid_map3lib,map3,map3lib,6,0.0,0,2000,2,268,65,652,0,652,44,317.0
R4_online_cap300_map2,online_cap300,map2,rrt_online,10,0.0,0,2000,2,697,1046,1490,0,1490,2486,62.63
R5_transfer_map3,hybrid_map3lib,map3,map3lib,10,0.0,0,2000,1,396,152,2132,0,2132,106,792.94
R1_libvariants_map2,lib_filter,map2,original,10,0.0,0,2000,2,401,130,1635,0,1635,163,168.7
R1_libvariants_map2,lib_filter,map2,original,2,0.0,0,2000,3,104,16,31,0,31,8,14.71
R1_libvariants_map2,lib_repair,map2,original,2,0.0,0,2000,3,99,6,36,0,36,7,17.66
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,10,0.0,0,2000,2,523,150,1386,0,1386,1335,110.34
R1_libvariants_map2,lib_regen,map2,original,2,0.0,0,2000,3,124,14,41,0,41,3,27.39
R3_prioritized_map2,prioritized,map2,prioritized,2,0.0,0,2000,3,173,0,6,0,6,181,1.79
R5_transfer_map3,hybrid_original,map3,original,6,0.0,0,2000,2,93,376,3421,3030,391,79,451.79
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,2,0.0,0,2000,3,124,4,23,0,23,144,12.56
R4_online_cap300_map2,online_cap300,map2,rrt_online,2,0.0,0,2000,3,143,112,46,0,46,283,10.59
R2_scripted_map2,scripted_original,map2,original,2,0.0,0,2000,3,106,9,259,230,29,6,35.57
R2_scripted_map2,scripted_alternative,map2,alternative,2,0.0,0,2000,3,102,3,39,0,39,3,32.0
R1_libvariants_map2,lib_repair,map2,original,10,0.0,0,2000,2,404,123,1663,0,1663,61,215.91
R1_libvariants_map2,lib_regen,map2,original,10,0.0,0,2000,2,528,82,1226,0,1226,41,226.16
R1_libvariants_map2,lib_filter,map2,original,4,0.0,0,2000,3,205,33,225,0,225,36,35.38
R5_transfer_map3,hybrid_map3lib,map3,map3lib,2,0.0,0,2000,3,89,17,73,0,73,15,38.83
R3_prioritized_map2,prioritized,map2,prioritized,4,0.0,0,2000,3,363,0,15,0,15,382,1.52
R1_libvariants_map2,lib_repair,map2,original,4,0.0,0,2000,3,186,25,234,0,234,17,44.93
R1_libvariants_map2,lib_regen,map2,original,4,0.0,0,2000,3,235,21,220,0,220,14,51.21
R2_scripted_map2,scripted_original,map2,original,10,0.0,0,2000,2,428,86,2435,992,1443,59,256.38
R2_scripted_map2,scripted_alternative,map2,alternative,10,0.0,0,2000,2,443,49,1400,0,1400,21,245.07
R4_online_cap300_map2,online_cap300,map2,rrt_online,4,0.0,0,2000,3,292,254,259,0,259,693,13.21
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,4,0.0,0,2000,3,245,25,156,0,156,349,16.47
R2_scripted_map2,scripted_original,map2,original,4,0.0,0,2000,3,185,20,570,401,169,15,55.09
R5_transfer_map3,hybrid_original,map3,original,2,0.0,0,2000,3,20,127,1000,967,33,34,82.1
R5_transfer_map3,hybrid_original,map3,original,10,0.0,0,2000,1,155,606,5985,4669,1316,183,1042.3
R3_prioritized_map2,prioritized,map2,prioritized,6,0.0,0,2000,3,528,2,40,0,40,576,3.7
R2_scripted_map2,scripted_alternative,map2,alternative,4,0.0,0,2000,3,200,8,140,0,140,2,44.73
R5_transfer_map3,hybrid_map3lib,map3,map3lib,8,0.0,0,2000,2,341,97,1194,0,1194,76,360.18
R4_online_cap300_map2,online_cap300,map2,rrt_online,6,0.0,0,2000,3,423,407,549,0,549,1095,19.43
R1_libvariants_map2,lib_filter,map2,original,6,0.0,0,2000,3,278,57,495,0,495,81,46.83
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,6,0.0,0,2000,3,329,78,499,0,499,685,32.34
R1_libvariants_map2,lib_regen,map2,original,6,0.0,0,2000,3,326,45,492,0,492,21,59.86
R1_libvariants_map2,lib_repair,map2,original,6,0.0,0,2000,3,269,51,552,0,552,24,64.61
R5_transfer_map3,hybrid_map3lib,map3,map3lib,4,0.0,0,2000,3,159,34,342,0,342,31,74.26
R2_scripted_map2,scripted_alternative,map2,alternative,6,0.0,0,2000,3,276,16,450,0,450,5,66.94
R2_scripted_map2,scripted_original,map2,original,6,0.0,0,2000,3,274,41,1033,537,496,32,79.88
R3_prioritized_map2,prioritized,map2,prioritized,8,0.0,0,2000,3,708,6,80,0,80,802,6.25
R1_libvariants_map2,lib_filter,map2,original,8,0.0,0,2000,3,357,90,819,0,819,103,58.0
R4_online_cap300_map2,online_cap300,map2,rrt_online,8,0.0,0,2000,3,551,710,1100,0,1100,1809,24.72
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,8,0.0,0,2000,3,431,100,805,0,805,926,38.51
R5_transfer_map3,hybrid_original,map3,original,8,0.0,0,2000,2,123,491,4385,3744,641,151,478.62
R1_libvariants_map2,lib_repair,map2,original,8,0.0,0,2000,3,352,97,951,0,951,41,81.96
R1_libvariants_map2,lib_regen,map2,original,8,0.0,0,2000,3,424,82,886,0,886,29,81.63
R5_transfer_map3,hybrid_original,map3,original,4,0.0,0,2000,3,55,238,2103,1959,144,67,167.5
R5_transfer_map3,hybrid_map3lib,map3,map3lib,6,0.0,0,2000,3,262,53,562,0,562,49,110.2
R2_scripted_map2,scripted_original,map2,original,8,0.0,0,2000,3,380,53,1502,775,727,40,100.46
