x,y
42.0,26.0
42.0,27.0
41.34081297,27.54454403
40.48324393,27.73675045
39.66113359,27.97820644
38.77020493,27.96206972
37.98282359,28.16320271
37.32521431,28.73650406
36.7379321,29.39203318
35.90037829,29.77387243
35.07932269,30.04946338
34.16365092,29.70979126
33.27914194,29.79483794
32.40035652,29.57160442
31.56878006,29.39942755
30.7823832,29.03429616
31.0,29.0
31.61462359,28.40761374
32.10179116,27.61083546
32.74075166,26.89732448
33.12504665,26.02384918
33.60362583,25.28247371
34.05306589,24.43651212
34.24506388,23.56594787
34.07100605,22.72417704
33.92530342,21.85124805
33.57045336,20.99762897
33.37497827,20.22428159
33.16138409,19.48833762
32.39117032,18.86450156
31.7345759,18.20132787
30.87209813,17.83075908
30.09030155,17.25662607
29.20931739,16.80461504
28.40515387,16.3026329
27.5953464,15.86217404
1.0,1.0
27.0,9.0
26.53241886,8.196586647
25.80204423,8.747053658
25.75936684,9.588876239
25.52082503,10.44161628
25.04173462,11.20043156
25.02887704,12.15452246
25.04424452,13.02868067
25.00931014,13.98465197
25.01708131,14.94683816
24.71525737,15.85238509
24.18679384,16.63658338
23.50645251,17.16740768
23.21871719,18.07688946
23.09495656,19.00635432
22.65890165,19.76231882
22.70527165,20.68049006
22.42814929,21.56297282
22.20560669,22.41851259
21.8470917,23.23806288
21.44532643,24.11273132
21.04563416,24.87336739
20.83777206,25.65594248
20.62423625,26.53780091
21.24088332,26.90254758
20.82415511,27.70551875
20.60454249,28.65581523
20.24415374,29.48892209
19.66285931,30.18741565
19.36487116,31.01191701
18.81515828,31.7750334
17.2961993,31.32554148
16.81286463,32.15349159
16.46510385,32.95032162
16.24087833,33.87959538
15.55238821,34.4344477
15.51105482,35.33540695
15.03575573,36.10661331
15.11095218,36.93638591
15.09322478,37.82347542
15.0231864,38.6709797
14.85960889,39.61999359
14.89262435,40.48474712
14.52905195,41.29684248
13.9370364,41.94709109
13.52704345,42.74427077
12.95789287,43.46172784
12.88351553,44.37160646
1.0,1.0
45.0,11.0
44.0,12.0
43.0,12.0
43.0,13.0
43.0,14.0
43.0,15.0
43.0,16.0
43.0,17.0
44.0,17.0
44.66515534,17.62186485
45.38132352,18.07287445
45.65192329,18.99005377
45.76642232,19.92841188
45.68987931,20.90539878
45.24350449,21.74620075
45.17027991,22.62582689
44.96887305,23.55405184
44.63051236,24.38381379
44.11051076,25.17733819
43.57080069,25.89711284
43.13641266,26.64607044
42.41178071,27.19624058
41.77161434,27.75191019
41.32515863,28.42152804
40.60233037,28.98088966
39.75581097,29.3155276
39.75027178,30.20004758
38.90716288,30.66350019
38.09960843,30.98102152
37.22492537,31.18386898
36.28317477,31.17697063
35.44074752,31.39594369
34.58380071,31.80682704
33.95748029,32.34896175
33.16157759,32.70777177
32.27895863,32.72033161
31.48075958,32.91355962
30.59502499,32.77276701
29.75266037,32.83007671
28.89306588,32.58826822
28.6330468,31.69859385
28.0384753,30.96115011
28.32939184,30.63821843
27.48915803,30.91243502
26.5549133,31.05394712
25.64884918,31.27690297
25.2158301,32.08613149
24.54152958,32.61246583
23.58777166,32.65771665
22.73102001,32.70716415
21.89002255,32.92075307
21.18268006,33.27714152
20.47009718,32.62027447
19.75174893,32.21474495
18.91260924,31.91995949
18.10306784,31.54304827
17.22881656,31.32779635
16.44164524,31.02800685
15.59326654,30.91684012
15.0683287,30.142188
15.00979434,29.18924944
15.05111014,28.23928156
15.0488371,27.36504483
15.0958929,26.48565838
15.01696709,25.59763687
14.87546486,24.69320674
14.37958603,23.94801848
13.87562698,23.13586464
13.40586732,22.31250666
13.14512216,21.45343102
12.69899605,20.6009171
12.27983811,19.74845426
11.49468605,19.29989226
10.84543715,18.68020437
10.66214506,17.88232088
12.0,18.0
13.0,17.0
13.84650811,17.10725846
14.67056451,17.20777479
15.36571674,17.68131162
16.24264054,17.88881756
17.05826325,17.45970093
17.69407387,16.72102984
18.30697563,16.00515357
18.80567599,15.29988847
19.35782847,14.69103734
19.69611024,13.89558962
19.87960749,12.97402743
19.58193468,12.15067746
19.16622594,11.37723426
18.65732319,10.6368908
17.97761441,9.942443543
17.39508314,9.198833388
16.94102464,8.418588184
16.42801763,7.74800251
15.59309152,7.210422028
14.7480535,6.812725008
